epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_precision,val_recall,val_f1,val_sensitivity,val_specificity
0,1.129478708318377,0.6123,1.1654912494122982,0.8513,0.6917,0.5977,0.963,0.7376,0.963,0.4697
1,0.9920858172452556,0.73,1.2281334027647972,0.8749,0.7417,0.7091,0.7222,0.7156,0.7222,0.7576
2,0.9512856325744528,0.7599,0.9188598821560542,0.8917,0.65,0.5625,1.0,0.72,1.0,0.3636
3,0.9548641163031611,0.7632,1.2061175068219503,0.8892,0.75,0.7308,0.7037,0.717,0.7037,0.7879
4,0.88730935698985,0.8036,1.1495824235181014,0.9018,0.775,0.7547,0.7407,0.7477,0.7407,0.803
5,0.8538616537718119,0.8189,0.8610607922077179,0.8965,0.7333,0.6279,1.0,0.7714,1.0,0.5152
6,0.8489938252399453,0.8204,1.0790111710627874,0.8973,0.7833,0.7414,0.7963,0.7679,0.7963,0.7727
7,0.8519703851930336,0.8189,0.8913293269152442,0.901,0.55,0.5,1.0,0.6667,1.0,0.1818
8,0.835856854612321,0.8333,1.155869129175941,0.9015,0.8,0.8125,0.7222,0.7647,0.7222,0.8636
9,0.8188664350625688,0.8369,1.0235322876522939,0.9012,0.7917,0.7636,0.7778,0.7706,0.7778,0.803
10,0.7853889238781634,0.8532,1.1284326021869977,0.9085,0.8167,0.82,0.7593,0.7885,0.7593,0.8636
11,0.7437309063014995,0.8688,0.9365634457518657,0.913,0.8167,0.7667,0.8519,0.807,0.8519,0.7879
12,0.7267862796585645,0.8754,1.04409619619449,0.9122,0.8167,0.8077,0.7778,0.7925,0.7778,0.8485
13,0.7155799132269041,0.8858,0.9626952715218067,0.9147,0.825,0.7895,0.8333,0.8108,0.8333,0.8182
14,0.7376312541124304,0.8703,0.8259484089290102,0.9184,0.8333,0.7656,0.9074,0.8305,0.9074,0.7727
15,0.6819404705600665,0.8961,1.0398249544203282,0.9178,0.8333,0.8269,0.7963,0.8113,0.7963,0.8636
16,0.700542741038103,0.8878,0.9183545084049304,0.9214,0.8417,0.807,0.8519,0.8288,0.8519,0.8333
17,0.6841286583614032,0.8945,1.0104904234409333,0.9228,0.8417,0.8302,0.8148,0.8224,0.8148,0.8636
18,0.6782226286630715,0.8951,0.8283970064794024,0.927,0.8417,0.7966,0.8704,0.8319,0.8704,0.8182
19,0.6972657378795928,0.887,0.8921647499005,0.9282,0.8583,0.8246,0.8704,0.8468,0.8704,0.8485
20,0.6664617126362513,0.9005,1.0000275413195292,0.9259,0.85,0.8462,0.8148,0.8302,0.8148,0.8788
21,0.6663142983463749,0.8985,1.0239379132166504,0.9265,0.85,0.8462,0.8148,0.8302,0.8148,0.8788
22,0.6498276914181434,0.9068,0.9441712513566017,0.9282,0.8417,0.8302,0.8148,0.8224,0.8148,0.8636
23,0.6320522634197125,0.9144,0.9911817967270812,0.9285,0.8583,0.8627,0.8148,0.8381,0.8148,0.8939
24,0.6497444514943436,0.9066,1.0386641598617037,0.9279,0.85,0.86,0.7963,0.8269,0.7963,0.8939
25,0.6195918255609221,0.9187,0.9881079090759158,0.9293,0.8583,0.8627,0.8148,0.8381,0.8148,0.8939
26,0.646121016546952,0.909,0.8953927143166462,0.9299,0.8583,0.8246,0.8704,0.8468,0.8704,0.8485
27,0.6292984947727054,0.9141,0.9070449811095993,0.9304,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
28,0.6509285850994355,0.9061,0.9197338243325551,0.9299,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
29,0.632325508880668,0.9129,0.9401809801037113,0.9301,0.8583,0.8364,0.8519,0.844,0.8519,0.8636
30,0.6321542745538518,0.9143,0.9165453620254993,0.9301,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
31,0.6358377066333737,0.9129,0.9249635218953093,0.9301,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
32,0.6372490033738117,0.9113,0.9244146067649126,0.9301,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
33,0.650406179112275,0.9057,0.9191438829526305,0.9304,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
34,0.6368563241597298,0.9114,0.9315923471624653,0.9304,0.8583,0.8364,0.8519,0.844,0.8519,0.8636
35,0.6398091824428566,0.9089,0.9284919673576951,0.9304,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
36,0.6334454197106899,0.9145,0.9285983364408215,0.9307,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
37,0.6396914153104335,0.9101,0.9243052495022615,0.9307,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
38,0.6463054012869839,0.9072,0.9236696911975741,0.9307,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
39,0.6520965788051881,0.9052,0.9229257135962446,0.9307,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
40,0.635071389845251,0.9125,0.9229700904960434,0.9307,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
41,0.615608848998966,0.92,0.9243341645846764,0.9307,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
42,0.6288789083340527,0.9135,0.9246945907672246,0.9307,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
43,0.6509068096798342,0.9064,0.9241944544638196,0.9307,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
44,0.6319705591396948,0.9132,0.9229773668572306,0.9307,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
45,0.6365577615237078,0.9117,0.9235611723115047,0.9307,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
46,0.6181314116887814,0.9199,0.9241190496832132,0.9307,0.8667,0.8393,0.8704,0.8545,0.8704,0.8636
