epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_precision,val_recall,val_f1,val_sensitivity,val_specificity
0,1.123551723387389,0.5406,1.5062173227469127,0.8583,0.65,0.5652,0.963,0.7123,0.963,0.3939
1,0.9091106060331902,0.7892,1.361529598136743,0.929,0.8333,0.9722,0.6481,0.7778,0.6481,0.9848
2,0.7341649648494425,0.8706,1.2093166019767523,0.9604,0.8417,0.973,0.6667,0.7912,0.6667,0.9848
3,0.562894337162771,0.929,1.0516826573836928,0.9649,0.8667,0.975,0.7222,0.8298,0.7222,0.9848
4,0.4987807797226824,0.9409,0.7827706291185071,0.9795,0.925,0.9787,0.8519,0.9109,0.8519,0.9848
5,0.4509407163082531,0.9555,0.3664063127012923,0.9905,0.9333,0.8966,0.963,0.9286,0.963,0.9091
6,0.3498102066383967,0.9735,0.5067071085436813,0.9762,0.9,0.8889,0.8889,0.8889,0.8889,0.9091
7,0.3093971412923533,0.9757,1.0736507294117472,0.961,0.8833,0.9167,0.8148,0.8627,0.8148,0.9394
8,0.3394470366241876,0.9723,0.5107025907433126,0.9576,0.925,0.8947,0.9444,0.9189,0.9444,0.9091
9,0.23487592518026476,0.9878,0.7103754168075587,0.9585,0.875,0.8679,0.8519,0.8598,0.8519,0.8939
10,0.2779055904883229,0.981,0.5576464947310645,0.9655,0.9083,0.9216,0.8704,0.8952,0.8704,0.9394
11,0.222885725944611,0.9862,0.9064528512360994,0.9708,0.8833,0.9348,0.7963,0.86,0.7963,0.9545
12,0.08866450917833398,0.9984,0.8487094522245268,0.975,0.8833,0.9348,0.7963,0.86,0.7963,0.9545
13,0.07273315150654912,0.9994,0.6959016336875113,0.9764,0.8917,0.9362,0.8148,0.8713,0.8148,0.9545
14,0.0535928007271795,0.9993,1.0172459685231539,0.9778,0.8833,0.9348,0.7963,0.86,0.7963,0.9545
15,0.06402855259826835,0.9994,0.8950479996716846,0.9762,0.8833,0.9348,0.7963,0.86,0.7963,0.9545
