epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_precision,val_recall,val_f1,val_sensitivity,val_specificity
0,1.1097230743517918,0.5927,1.9283404104411601,0.8112,0.675,0.8947,0.3148,0.4658,0.3148,0.9697
1,0.975251723680876,0.752,1.0918397399286428,0.931,0.8667,0.88,0.8148,0.8462,0.8148,0.9091
2,0.8558322053303761,0.8176,1.490445323040088,0.8973,0.7833,0.8333,0.6481,0.7292,0.6481,0.8939
3,0.7851538607372647,0.8532,0.7593399478743473,0.9408,0.825,0.7391,0.9444,0.8293,0.9444,0.7273
4,0.6941019775230537,0.8865,0.546444847000142,0.9568,0.8667,0.8065,0.9259,0.8621,0.9259,0.8182
5,0.708027667723662,0.8828,0.5778032547794283,0.9644,0.9083,0.8772,0.9259,0.9009,0.9259,0.8939
6,0.6547125722998671,0.9003,0.6821362947424253,0.9346,0.825,0.7463,0.9259,0.8264,0.9259,0.7424
7,0.5945378878607159,0.9185,0.9768640654782454,0.9576,0.8667,0.8958,0.7963,0.8431,0.7963,0.9242
8,0.5313261923338987,0.935,0.7440346222526083,0.9453,0.8583,0.8136,0.8889,0.8496,0.8889,0.8333
9,0.5238222296539266,0.9376,0.4455619981822868,0.968,0.8833,0.7941,1.0,0.8852,1.0,0.7879
10,0.4617039383817629,0.9518,0.4731491030814747,0.9733,0.9,0.85,0.9444,0.8947,0.9444,0.8636
11,0.4020601727035457,0.9625,0.8048576536122709,0.9444,0.875,0.8824,0.8333,0.8571,0.8333,0.9091
12,0.40581535447257017,0.9613,0.8931850578946372,0.9574,0.8667,0.8519,0.8519,0.8519,0.8519,0.8788
13,0.43911962088411755,0.9567,1.2776343220223982,0.9585,0.8417,0.907,0.7222,0.8041,0.7222,0.9394
14,0.3554822849744387,0.972,0.9270193874137476,0.9329,0.825,0.8,0.8148,0.8073,0.8148,0.8333
15,0.363524597812139,0.9702,1.4083262940383672,0.9641,0.8583,0.9302,0.7407,0.8247,0.7407,0.9545
16,0.22686170774380124,0.9885,1.1429178669311417,0.9675,0.875,0.9149,0.7963,0.8515,0.7963,0.9394
17,0.20049532292620897,0.9916,0.8366443287678218,0.9691,0.8917,0.902,0.8519,0.8762,0.8519,0.9242
18,0.20184459277290637,0.9903,0.8738838278222829,0.9689,0.875,0.8824,0.8333,0.8571,0.8333,0.9091
19,0.1835848666295879,0.9924,0.7712097904421777,0.9689,0.8917,0.8868,0.8704,0.8785,0.8704,0.9091
20,0.15223206542133544,0.9949,0.7880278725186751,0.9683,0.8833,0.8846,0.8519,0.8679,0.8519,0.9091
