epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_precision,val_recall,val_f1,val_sensitivity,val_specificity
0,1.1418160325394267,0.4786,1.6394762963056564,0.7691,0.45,0.45,1.0,0.6207,1.0,0.0
1,1.1113163520804548,0.5855,1.1831847781936327,0.8406,0.6,0.53,0.9815,0.6883,0.9815,0.2879
2,1.044709685814064,0.6911,1.642673385888338,0.81,0.75,0.8158,0.5741,0.6739,0.5741,0.8939
3,0.9907460376356555,0.7384,1.8575094143549602,0.837,0.7083,0.8519,0.4259,0.5679,0.4259,0.9394
4,0.9308618954588882,0.7795,1.5560451534887154,0.8563,0.7917,0.8222,0.6852,0.7475,0.6852,0.8788
5,0.9014410388153211,0.7913,1.0570937407513459,0.8448,0.7167,0.6515,0.7963,0.7167,0.7963,0.6515
6,0.856294413332918,0.8181,1.3286343800524871,0.8454,0.8,0.8125,0.7222,0.7647,0.7222,0.8636
7,0.8435609994736393,0.8252,1.3157530387242635,0.8516,0.7917,0.7959,0.7222,0.7573,0.7222,0.8485
8,0.8000896093789983,0.8437,1.4084743909537791,0.8241,0.75,0.75,0.6667,0.7059,0.6667,0.8182
9,0.7440238789712961,0.8693,0.994406987602512,0.8723,0.8,0.7419,0.8519,0.7931,0.8519,0.7576
10,0.6847104468671358,0.8912,1.5826848889390628,0.8462,0.75,0.8,0.5926,0.6809,0.5926,0.8788
11,0.6824948121752359,0.8895,1.4119405135512353,0.8516,0.7917,0.7959,0.7222,0.7573,0.7222,0.8485
12,0.64417460540359,0.9033,1.4079700529575347,0.8622,0.8167,0.8333,0.7407,0.7843,0.7407,0.8788
13,0.6346898797404977,0.9067,1.1400636189927658,0.8833,0.8083,0.7925,0.7778,0.785,0.7778,0.8333
14,0.5238438892384282,0.939,1.5239804007733861,0.8875,0.85,0.9286,0.7222,0.8125,0.7222,0.9545
15,0.5678078373152334,0.926,1.9932539138942957,0.851,0.7667,0.9333,0.5185,0.6667,0.5185,0.9697
16,0.48863189645045624,0.9523,1.3720864959682026,0.8833,0.8417,0.8571,0.7778,0.8155,0.7778,0.8939
17,0.38115394946880043,0.9726,1.6434282797388733,0.8864,0.8333,0.8864,0.7222,0.7959,0.7222,0.9242
18,0.37328989724175327,0.9727,1.4791142695428183,0.8939,0.8417,0.8889,0.7407,0.8081,0.7407,0.9242
19,0.3355065540863877,0.9782,1.5027865679003298,0.9021,0.8333,0.8864,0.7222,0.7959,0.7222,0.9242
20,0.3102739531975404,0.9814,1.6786313511586437,0.9001,0.8417,0.8889,0.7407,0.8081,0.7407,0.9242
21,0.3163035856221959,0.9791,1.5607232415893426,0.8976,0.8167,0.8478,0.7222,0.78,0.7222,0.8939
22,0.28583616559533814,0.9835,1.6367515950618932,0.899,0.8333,0.8864,0.7222,0.7959,0.7222,0.9242
23,0.2804907013785786,0.9852,1.7069648931423822,0.8993,0.8167,0.881,0.6852,0.7708,0.6852,0.9242
24,0.24852167799475447,0.9901,1.7622279486308494,0.8979,0.8167,0.881,0.6852,0.7708,0.6852,0.9242
25,0.25966637442877466,0.9882,1.7645777034418038,0.899,0.8167,0.881,0.6852,0.7708,0.6852,0.9242
26,0.2728451398226012,0.9853,1.7789546107097218,0.8984,0.8167,0.881,0.6852,0.7708,0.6852,0.9242
27,0.2619132781121056,0.9863,1.7894572721483806,0.8984,0.825,0.8837,0.7037,0.7835,0.7037,0.9242
28,0.24182187264653301,0.9894,1.7905589138390496,0.8987,0.8167,0.881,0.6852,0.7708,0.6852,0.9242
29,0.2475400803915629,0.9879,1.7939683721090356,0.8984,0.8167,0.881,0.6852,0.7708,0.6852,0.9242
