epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_precision,val_recall,val_f1,val_sensitivity,val_specificity
0,1.138748851444869,0.5073,1.7602187886834144,0.858,0.725,0.9565,0.4074,0.5714,0.4074,0.9848
1,1.062009768359429,0.6752,1.4512002711494765,0.8373,0.7417,0.717,0.7037,0.7103,0.7037,0.7727
2,0.9673533265305831,0.7506,1.1207383791605632,0.8375,0.725,0.64,0.8889,0.7442,0.8889,0.5909
3,0.934768660775328,0.7746,1.6927025896807513,0.8541,0.7833,0.85,0.6296,0.7234,0.6296,0.9091
4,0.8735312023521524,0.81,1.1632472614447276,0.8869,0.8167,0.7963,0.7963,0.7963,0.7963,0.8333
5,0.8608099244271232,0.8147,0.8628837125996749,0.9164,0.7583,0.6582,0.963,0.782,0.963,0.5909
6,0.782534509280746,0.8506,0.8197134623924891,0.9285,0.825,0.7538,0.9074,0.8235,0.9074,0.7576
7,0.6625752221232495,0.8985,1.013580873950074,0.9408,0.875,0.9149,0.7963,0.8515,0.7963,0.9394
8,0.6522330191546837,0.9008,0.6218038723648837,0.9428,0.85,0.7812,0.9259,0.8475,0.9259,0.7879
9,0.5971439386907537,0.9179,1.0389473363757133,0.9343,0.875,0.9333,0.7778,0.8485,0.7778,0.9545
10,0.5916329772854471,0.9186,0.9294813725010802,0.9571,0.8667,0.9318,0.7593,0.8367,0.7593,0.9545
11,0.5128540382390858,0.9386,1.9331307816940049,0.9318,0.8,0.9688,0.5741,0.7209,0.5741,0.9848
12,0.5272330963250612,0.9359,1.3987684074789286,0.924,0.85,0.9286,0.7222,0.8125,0.7222,0.9545
13,0.42637069638595976,0.9587,0.6580965818216403,0.9506,0.8667,0.8519,0.8519,0.8519,0.8519,0.8788
14,0.43752610893977756,0.9554,1.2022605289549877,0.9554,0.8583,0.9111,0.7593,0.8283,0.7593,0.9394
15,0.2933569765489021,0.9834,0.7928127912765679,0.9632,0.875,0.898,0.8148,0.8544,0.8148,0.9242
16,0.2634299084140334,0.9859,0.6342285147674072,0.9599,0.9,0.8889,0.8889,0.8889,0.8889,0.9091
17,0.23841150293036042,0.988,0.7627427689246057,0.9579,0.8917,0.8868,0.8704,0.8785,0.8704,0.9091
18,0.22402439038361943,0.9902,0.833696676963397,0.9554,0.8833,0.8846,0.8519,0.8679,0.8519,0.9091
19,0.21959391174100307,0.9893,0.6681520143320085,0.9588,0.8917,0.8868,0.8704,0.8785,0.8704,0.9091
20,0.23413253442870569,0.9881,0.8028591736054902,0.9559,0.8833,0.8846,0.8519,0.8679,0.8519,0.9091
21,0.19773396490094358,0.9928,0.7746532085293438,0.9574,0.8833,0.8846,0.8519,0.8679,0.8519,0.9091
22,0.20743903549371567,0.9902,0.8065362878104982,0.9565,0.8833,0.8846,0.8519,0.8679,0.8519,0.9091
23,0.18306109627628436,0.9937,0.8117145223834086,0.9562,0.8833,0.8846,0.8519,0.8679,0.8519,0.9091
24,0.16899201839964476,0.9951,0.8053500032527761,0.9571,0.8917,0.8868,0.8704,0.8785,0.8704,0.9091
25,0.17762947632182716,0.9942,0.840783914400769,0.9559,0.8833,0.8846,0.8519,0.8679,0.8519,0.9091
