epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_precision,val_recall,val_f1,val_sensitivity,val_specificity
0,1.181983019899478,0.5553,2.329930974791447,0.7276,0.55,0.0,0.0,0.0,0.0,1.0
1,1.1080229172664406,0.6008,1.9181887512405713,0.771,0.725,0.8889,0.4444,0.5926,0.4444,0.9545
2,1.0442093072211849,0.6799,1.7604135875900586,0.7483,0.6833,0.7,0.5185,0.5957,0.5185,0.8182
3,1.024552768442483,0.7058,1.75384702856342,0.768,0.7083,0.7209,0.5741,0.6392,0.5741,0.8182
4,1.004520883180399,0.7231,1.6147054140766461,0.8019,0.7417,0.7674,0.6111,0.6804,0.6111,0.8485
5,1.0019978575210655,0.7318,1.9832998844484488,0.7854,0.7,0.7647,0.4815,0.5909,0.4815,0.8788
6,0.9826128546115571,0.7405,1.1132898670931657,0.837,0.7417,0.6716,0.8333,0.7438,0.8333,0.6667
7,0.9673747075738105,0.7622,1.4370953251918157,0.8117,0.7583,0.7358,0.7222,0.729,0.7222,0.7879
8,0.9510961773319054,0.7676,1.0880164648095767,0.8384,0.6083,0.5354,0.9815,0.6928,0.9815,0.303
9,0.9568293619472369,0.7587,1.1689307776590188,0.8735,0.7833,0.7258,0.8333,0.7759,0.8333,0.7424
10,0.8954774699379913,0.7962,0.980469923093915,0.8597,0.7417,0.6533,0.9074,0.7597,0.9074,0.6061
11,0.9105599757053155,0.7875,1.083096173654,0.8782,0.7833,0.7,0.9074,0.7903,0.9074,0.6818
12,0.9131736709612661,0.7857,0.9141560858736436,0.8813,0.75,0.65,0.963,0.7761,0.963,0.5758
13,0.8751528451664258,0.807,0.9149436045438051,0.8625,0.6833,0.5909,0.963,0.7324,0.963,0.4545
14,0.8998823329146984,0.791,1.0784887654085955,0.8709,0.7917,0.7377,0.8333,0.7826,0.8333,0.7576
15,0.8706459845193719,0.8054,1.273854344089826,0.9113,0.7667,0.7826,0.6667,0.72,0.6667,0.8485
16,0.8515478328233008,0.818,0.8353696583770216,0.8782,0.775,0.6849,0.9259,0.7874,0.9259,0.6515
17,0.8583306538254286,0.8144,0.8912797858317693,0.9021,0.8083,0.746,0.8704,0.8034,0.8704,0.7576
18,0.8613690883580563,0.8152,0.9948859219749768,0.8934,0.7917,0.7302,0.8519,0.7863,0.8519,0.7424
19,0.8559230413254911,0.817,0.9240867125491301,0.8909,0.7833,0.6944,0.9259,0.7937,0.9259,0.6667
20,0.8091358635574579,0.8419,1.0527227245271207,0.8906,0.7917,0.7377,0.8333,0.7826,0.8333,0.7576
21,0.8554661166895412,0.8137,1.0280213065445423,0.8981,0.7917,0.7101,0.9074,0.7967,0.9074,0.697
22,0.8376191937026725,0.8265,0.9638265515988071,0.8645,0.5667,0.5094,1.0,0.675,1.0,0.2121
23,0.7496087346852354,0.8699,0.9493179831653833,0.8959,0.8083,0.7541,0.8519,0.8,0.8519,0.7727
24,0.7341750479525829,0.8712,0.9331154049063722,0.8962,0.825,0.7797,0.8519,0.8142,0.8519,0.803
25,0.6995225376062161,0.8821,0.9581120983387034,0.904,0.8167,0.7857,0.8148,0.8,0.8148,0.8182
