epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_precision,val_recall,val_f1,val_sensitivity,val_specificity
0,1.163249612566644,0.4935,1.9686166855196159,0.6271,0.5583,0.6667,0.037,0.0702,0.037,0.9848
1,1.1212561777932981,0.5996,2.056510229408741,0.4046,0.55,0.0,0.0,0.0,0.0,1.0
2,1.1109170833256392,0.6,2.263724015156428,0.5584,0.5833,0.75,0.1111,0.1935,0.1111,0.9697
3,1.096180021367242,0.6181,1.089468469719092,0.8451,0.65,0.5638,0.9815,0.7162,0.9815,0.3788
4,1.1086801745195305,0.6076,1.1652366424600282,0.8387,0.5583,0.5051,0.9259,0.6536,0.9259,0.2576
5,1.0892697861236809,0.6429,1.4600642437736193,0.8154,0.725,0.6909,0.7037,0.6972,0.7037,0.7424
6,1.0541446441570215,0.681,1.4842647376159828,0.8182,0.725,0.7143,0.6481,0.6796,0.6481,0.7879
7,1.0124913064647565,0.715,1.6130888481934866,0.6639,0.6083,0.5385,0.9074,0.6759,0.9074,0.3636
8,1.0322314263708823,0.6991,1.2535351370771726,0.7912,0.675,0.6087,0.7778,0.6829,0.7778,0.5909
9,0.9696429236404663,0.7478,1.7314289808273315,0.8067,0.8,0.875,0.6481,0.7447,0.6481,0.9242
10,0.9238842710457017,0.8117,1.194588103890419,0.8272,0.75,0.6935,0.7963,0.7414,0.7963,0.7121
11,0.8554385513067245,0.8293,1.2879982930918534,0.8272,0.7833,0.7593,0.7593,0.7593,0.7593,0.803
12,0.8401043605092352,0.8302,1.280207279821237,0.8322,0.775,0.7547,0.7407,0.7477,0.7407,0.803
13,0.84132308898642,0.8269,1.3030609309673309,0.8401,0.7667,0.76,0.7037,0.7308,0.7037,0.8182
