epoch,train_loss,train_auc,val_loss,val_auc,val_accuracy,val_precision,val_recall,val_f1,val_sensitivity,val_specificity
0,1.097550559782349,0.6077,1.3546923324465752,0.8485,0.7417,0.6575,0.8889,0.7559,0.8889,0.6212
1,0.973598045954662,0.7469,1.3133391944070658,0.8401,0.7417,0.7091,0.7222,0.7156,0.7222,0.7576
2,0.9230930395622169,0.7822,1.0374036649862926,0.8434,0.625,0.5474,0.963,0.698,0.963,0.3485
3,0.8810221142737211,0.8066,1.0961468699077765,0.8493,0.725,0.6438,0.8704,0.7402,0.8704,0.6061
4,0.8347856023274691,0.8321,1.1820445451885462,0.8603,0.8,0.7885,0.7593,0.7736,0.7593,0.8333
5,0.7219401030611675,0.8751,1.5054930761456489,0.7747,0.7417,0.7447,0.6481,0.6931,0.6481,0.8182
6,0.6972349941928302,0.8862,1.863964458554983,0.8109,0.775,0.8857,0.5741,0.6966,0.5741,0.9394
7,0.580225714243355,0.9231,1.3203285047163567,0.8482,0.8,0.7778,0.7778,0.7778,0.7778,0.8182
8,0.5760415347400163,0.923,1.3826529663677016,0.8359,0.775,0.7647,0.7222,0.7429,0.7222,0.8182
9,0.37986175486966306,0.9781,1.5050948436371983,0.8339,0.7917,0.7843,0.7407,0.7619,0.7407,0.8333
10,0.3283003141835695,0.9794,1.786826754687354,0.8331,0.7917,0.8085,0.7037,0.7525,0.7037,0.8636
11,0.28438376676109905,0.9831,1.98299179499348,0.8252,0.7917,0.8085,0.7037,0.7525,0.7037,0.8636
12,0.2318931362443074,0.9897,2.1474436476322203,0.826,0.7917,0.8222,0.6852,0.7475,0.6852,0.8788
13,0.19873023043432742,0.993,2.3262081821992373,0.8316,0.8,0.8571,0.6667,0.75,0.6667,0.9091
14,0.19023029254229154,0.9917,2.1908228096028326,0.8308,0.7833,0.8043,0.6852,0.74,0.6852,0.8636
