variant,optimizer,lr,weight_decay,dropout,accumulation_steps,val_auc,node,gpu_ids,checkpoint
densenet121_strong_cbam,AdamW,0.0001,0.1,0.5,8,0.9635,spark-cdf0,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/densenet121_strong_cbam/best_densenet121_strong_cbam_optAdamW_lr0.0001_wd0.1_do0.5_acc8.pth
medvit_strong,SGD,0.0003,0.0,0.5,4,0.947,spark-cdf0,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/medvit_strong/best_medvit_strong_optSGD_lr0.0003_wd0.0_do0.5_acc4.pth
densenet121_strong_cbam,AdamW,1e-05,0.0001,0.5,4,0.9338,spark-2e7f,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/densenet121_strong_cbam/best_densenet121_strong_cbam_optAdamW_lr1e-05_wd0.0001_do0.5_acc4.pth
medvit_strong,AdamW,1e-05,0.0001,0.5,4,0.9158,spark-cdf0,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/medvit_strong/best_medvit_strong_optAdamW_lr1e-05_wd0.0001_do0.5_acc4.pth
medvit_strong,SGD,0.0003,0.1,0.3,8,0.9147,spark-cdf0,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/medvit_strong/best_medvit_strong_optSGD_lr0.0003_wd0.1_do0.3_acc8.pth
medvit_strong,SGD,0.0001,0.1,0.3,4,0.8883,spark-2e7f,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/medvit_strong/best_medvit_strong_optSGD_lr0.0001_wd0.1_do0.3_acc4.pth
densenet121_strong_cbam,SGD,0.0003,0.0,0.5,4,0.8614,spark-cdf0,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/densenet121_strong_cbam/best_densenet121_strong_cbam_optSGD_lr0.0003_wd0.0_do0.5_acc4.pth
medvit_strong,SGD,0.0001,0.0001,0.5,8,0.8558,spark-2e7f,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/medvit_strong/best_medvit_strong_optSGD_lr0.0001_wd0.0001_do0.5_acc8.pth
densenet121_strong_cbam,AdamW,0.0003,0.0,0.0,8,0.8513,spark-cdf0,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/densenet121_strong_cbam/best_densenet121_strong_cbam_optAdamW_lr0.0003_wd0.0_do0.0_acc8.pth
medvit_strong,SGD,0.0001,0.0001,0.5,16,0.8291,spark-2e7f,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/medvit_strong/best_medvit_strong_optSGD_lr0.0001_wd0.0001_do0.5_acc16.pth
medvit_strong,AdamW,0.0001,0.1,0.5,8,0.8274,spark-cdf0,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/medvit_strong/best_medvit_strong_optAdamW_lr0.0001_wd0.1_do0.5_acc8.pth
medvit_strong,SGD,1e-05,0.0,0.3,4,0.8241,spark-cdf0,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/medvit_strong/best_medvit_strong_optSGD_lr1e-05_wd0.0_do0.3_acc4.pth
medvit_strong,SGD,1e-05,0.1,0.5,8,0.7896,spark-2e7f,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/medvit_strong/best_medvit_strong_optSGD_lr1e-05_wd0.1_do0.5_acc8.pth
medvit_strong,AdamW,0.0003,0.0,0.0,8,0.7567,spark-cdf0,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/medvit_strong/best_medvit_strong_optAdamW_lr0.0003_wd0.0_do0.0_acc8.pth
densenet121_strong_cbam,SGD,0.0003,0.1,0.3,8,0.6159,spark-2e7f,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/densenet121_strong_cbam/best_densenet121_strong_cbam_optSGD_lr0.0003_wd0.1_do0.3_acc8.pth
densenet121_strong_cbam,SGD,0.0001,0.0001,0.5,8,0.6034,spark-2e7f,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/densenet121_strong_cbam/best_densenet121_strong_cbam_optSGD_lr0.0001_wd0.0001_do0.5_acc8.pth
densenet121_strong_cbam,SGD,0.0001,0.1,0.3,4,0.5901,spark-cdf0,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/densenet121_strong_cbam/best_densenet121_strong_cbam_optSGD_lr0.0001_wd0.1_do0.3_acc4.pth
densenet121_strong_cbam,SGD,1e-05,0.0,0.3,4,0.5104,spark-2e7f,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/densenet121_strong_cbam/best_densenet121_strong_cbam_optSGD_lr1e-05_wd0.0_do0.3_acc4.pth
densenet121_strong_cbam,SGD,0.0001,0.0001,0.5,16,0.4966,spark-2e7f,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/densenet121_strong_cbam/best_densenet121_strong_cbam_optSGD_lr0.0001_wd0.0001_do0.5_acc16.pth
densenet121_strong_cbam,SGD,1e-05,0.1,0.5,8,0.4795,spark-cdf0,[0],/home/viet/AI-for-MIA/codes/for-gpu/results/tuning_ray_checkpoints/densenet121_strong_cbam/best_densenet121_strong_cbam_optSGD_lr1e-05_wd0.1_do0.5_acc8.pth
